GEO (Codes),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
ES61,"8,332,080","8,377,810","8,393,175","8,388,875","8,399,618","8,403,774","8,408,976","8,410,095","8,427,405","8,478,083","8,502,216","8,519,106",
ES62,"1,459,075","1,461,925","1,461,983","1,461,803","1,463,773","1,466,474","1,472,991","1,475,569","1,487,663","1,504,869","1,513,076","1,522,516",
ES63,"81,621","83,845","84,539","84,674","84,692","84,652","85,034","85,209","84,829","84,085","83,517","82,513",
ES64,"78,866","81,792","83,620","83,870","84,570","84,764","84,946","84,708","84,689","84,473","84,022","83,236",
ES70,"2,064,871","2,085,938","2,105,234","2,114,845","2,126,144","2,135,209","2,154,978","2,177,048","2,206,901","2,236,992","2,244,369","2,252,237",
FR10,"11,852,851","11,898,502","11,959,807","12,027,565","12,082,144","12,117,132","12,174,880","12,213,447","12,252,917","12,291,557","12,348,605","12,329,432",p
FRB0,"2,556,835","2,563,586","2,570,548","2,577,435","2,578,592","2,577,866","2,576,252","2,572,853","2,569,510","2,565,726","2,567,768","2,572,636",p
FRC1,"1,642,734","1,641,130","1,642,687","1,642,551","1,641,205","1,637,941","1,632,887","1,628,737","1,623,815","1,618,321","1,615,259","1,614,708",p
FRC2,"1,173,440","1,175,684","1,177,096","1,178,072","1,179,735","1,180,397","1,178,536","1,179,070","1,177,762","1,176,196","1,176,550","1,176,298",p
FRD1,"1,475,684","1,477,209","1,478,712","1,479,378","1,479,484","1,477,349","1,474,257","1,471,632","1,467,715","1,463,606","1,463,498","1,468,032",p
FRD2,"1,839,393","1,845,547","1,849,652","1,856,267","1,859,647","1,858,580","1,856,221","1,855,845","1,853,117","1,849,826","1,849,900","1,851,711",p
FRE1,"4,042,015","4,050,756","4,060,741","4,076,061","4,077,886","4,074,448","4,072,379","4,072,977","4,066,719","4,061,166","4,067,882","4,063,753",p
FRE2,"1,918,155","1,922,342","1,927,142","1,930,095","1,932,090","1,932,422","1,931,436","1,931,131","1,929,189","1,926,629","1,926,546","1,921,730",p
FRF1,"1,852,325","1,859,869","1,868,183","1,872,949","1,879,265","1,884,150","1,889,589","1,898,533","1,903,646","1,908,494","1,918,635","1,930,273",p
FRF2,"1,336,053","1,339,270","1,339,008","1,339,299","1,338,255","1,333,248","1,328,134","1,323,396","1,317,548","1,311,830","1,310,320","1,312,778",p
FRF3,"2,350,657","2,349,816","2,345,197","2,342,397","2,341,531","2,337,788","2,331,863","2,328,460","2,322,213","2,315,678","2,317,598","2,318,431",p
FRG0,"3,601,113","3,632,614","3,660,852","3,690,833","3,718,512","3,737,632","3,757,600","3,781,423","3,800,348","3,818,421","3,849,977","3,882,895",p
FRH0,"3,217,767","3,237,097","3,258,707","3,276,543","3,293,850","3,306,529","3,318,904","3,335,414","3,347,004","3,358,524","3,386,415","3,412,207",p
FRI1,"3,254,233","3,285,970","3,316,889","3,343,326","3,370,578","3,393,297","3,414,585","3,437,398","3,458,041","3,478,538","3,511,921","3,534,811",p
FRI2,"741,072","738,633","737,509","738,120","738,031","736,015","734,528","731,285","728,859","726,253","724,279","722,658",p
FRI3,"1,777,773","1,783,991","1,789,779","1,797,698","1,802,873","1,806,291","1,807,865","1,811,095","1,812,353","1,813,633","1,822,237","1,829,115",p
FRJ1,"2,670,046","2,700,266","2,729,721","2,751,592","2,772,683","2,793,303","2,810,383","2,830,361","2,847,554","2,864,782","2,893,969","2,917,252",p
FRJ2,"2,903,420","2,926,592","2,954,157","2,979,161","3,001,502","3,015,132","3,034,719","3,055,135","3,071,427","3,087,068","3,119,320","3,143,079",p
FRK1,"1,350,682","1,354,104","1,357,668","1,360,461","1,362,367","1,363,392","1,364,156","1,368,536","1,370,432","1,371,820","1,373,075","1,371,196",p
FRK2,"6,283,541","6,341,160","6,399,927","6,460,505","6,515,331","6,553,497","6,584,131","6,625,923","6,660,101","6,692,326","6,740,730","6,785,195",p
FRL0,"4,916,069","4,935,576","4,953,675","4,983,438","5,007,977","5,021,928","5,030,890","5,052,832","5,065,696","5,077,582","5,116,360","5,139,817",p
FRM0,"314,486","316,257","320,208","324,212","327,283","330,455","334,938","338,554","342,256","345,867","346,610","348,830",p
FRY1,:,:,"437,713","435,293","433,674","429,856","425,587","421,694","417,161","412,682","408,142","407,810",p
FRY2,"392,291","388,364","385,551","383,911","380,877","376,480","372,594","368,783","364,413","359,821","356,029","352,205",p
FRY3,"237,549","239,648","244,118","252,338","259,865","269,352","268,700","276,128","282,107","288,086","290,528","296,058",p
FRY4,"828,581","833,944","835,103","842,767","850,727","852,924","853,659","855,961","856,547","856,858","866,181","869,993",p
FRY5,:,:,:,"223,713","232,189","240,987","250,143","259,621","269,186","278,926","288,348","299,022",p
FRXX,:,:,:,0,0,0,0,0,0,0,:,:,
HR02,:,:,:,:,:,:,:,:,:,:,"1,046,327","1,013,572",b
HR03,"1,413,426","1,410,551","1,407,798","1,405,908","1,402,229","1,394,290","1,387,363","1,378,339","1,374,071","1,373,802","1,369,176","1,296,210",b
HR04,"2,876,431","2,865,433","2,854,342","2,840,901","2,823,087","2,796,379","2,766,850","2,727,154","2,702,175","2,684,363",:,:,
HR05,:,:,:,:,:,:,:,:,:,:,"808,785","766,824",b
HR06,:,:,:,:,:,:,:,:,:,:,"812,067","785,699",b
ITC1,"4,364,309","4,357,663","4,374,052","4,436,798","4,424,467","4,404,246","4,392,526","4,375,865","4,328,565","4,311,217","4,274,945","4,256,350",
ITC2,"126,761","126,620","127,844","128,591","128,298","127,329","126,883","126,202","125,653","125,034","124,089","123,360",
ITC3,"1,574,132","1,567,339","1,565,127","1,591,939","1,583,263","1,571,053","1,565,307","1,556,981","1,532,980","1,524,826","1,518,495","1,509,227",
ITC4,"9,663,872","9,700,881","9,794,525","9,973,397","10,002,615","10,008,349","10,019,166","10,036,258","10,010,833","10,027,602","9,981,554","9,943,004",
ITH1,"501,815","504,708","509,626","515,714","518,518","520,891","524,256","527,750","530,313","532,644","534,912","532,616",
ITH2,"522,486","524,877","530,308","536,237","537,416","538,223","538,604","539,898","543,721","545,425","542,166","540,958",
ITH3,"4,851,958","4,853,657","4,881,756","4,926,818","4,927,596","4,915,123","4,907,529","4,905,037","4,884,590","4,879,133","4,869,830","4,847,745",
ITH4,"1,220,849","1,217,780","1,221,860","1,229,363","1,227,122","1,221,218","1,217,872","1,215,538","1,210,414","1,206,216","1,201,510","1,194,647",
ITH5,"4,331,343","4,341,240","4,377,487","4,446,354","4,450,508","4,448,146","4,448,841","4,452,629","4,459,453","4,464,119","4,438,937","4,425,366",
ITI1,"3,668,948","3,667,780","3,692,828","3,750,511","3,752,654","3,744,398","3,742,437","3,736,968","3,701,343","3,692,555","3,692,865","3,663,191",
ITI2,"884,010","883,215","886,239","896,742","894,762","891,181","888,908","884,640","873,744","870,165","865,452","858,812",
ITI3,"1,541,950","1,540,688","1,545,155","1,553,138","1,550,796","1,543,752","1,538,055","1,531,753","1,520,321","1,512,672","1,498,236","1,487,150",
ITI4,"5,481,572","5,500,022","5,557,276","5,870,451","5,892,425","5,888,472","5,898,124","5,896,693","5,773,076","5,755,700","5,730,399","5,714,882",
ITF1,"1,307,273","1,306,416","1,312,507","1,333,939","1,331,574","1,326,513","1,322,247","1,315,196","1,300,645","1,293,941","1,281,012","1,275,950",
ITF2,"314,342","313,145","313,341","314,725","313,348","312,027","310,449","308,493","303,790","300,516","294,294","292,150",
ITF3,"5,765,850","5,764,424","5,769,750","5,869,965","5,861,529","5,850,850","5,839,084","5,826,860","5,740,291","5,712,143","5,624,260","5,624,420",
ITF4,"4,053,668","4,050,072","4,050,803","4,090,266","4,090,105","4,077,166","4,063,888","4,048,242","3,975,528","3,953,305","3,933,777","3,922,941",
ITF5,"579,358","577,562","576,194","578,391","576,619","573,694","570,365","567,118","558,587","553,254","545,130","541,168",
ITF6,"1,962,856","1,958,418","1,958,238","1,980,533","1,976,631","1,970,521","1,965,128","1,956,687","1,912,021","1,894,110","1,860,601","1,855,454",
ITG1,"5,005,657","4,999,854","4,999,932","5,094,937","5,092,080","5,074,261","5,056,641","5,026,989","4,908,548","4,875,290","4,833,705","4,833,329",
ITG2,"1,641,681","1,637,846","1,640,379","1,663,859","1,663,286","1,658,138","1,653,135","1,648,176","1,622,257","1,611,621","1,590,044","1,587,413",
CY00,"839,751","862,011","865,878","858,000","847,008","848,319","854,802","864,236","875,899","888,005","896,007","904,705",
LV00,"2,074,605","2,044,813","2,023,825","2,001,468","1,986,096","1,968,957","1,950,116","1,934,379","1,919,968","1,907,675","1,893,223","1,875,757",
LT01,"811,515","805,915","806,308","806,106","807,523","805,380","805,173","805,367","810,538","820,511","829,983","817,950",
LT02,"2,241,073","2,197,726","2,165,597","2,137,366","2,113,739","2,083,178","2,042,731","2,003,534","1,983,646","1,973,579","1,965,697","1,988,048",
LU00,"511,840","524,853","537,039","549,680","562,958","576,249","590,667","602,005","613,894","626,108","634,730","645,397",
HU11,"1,733,685","1,727,495","1,735,711","1,744,665","1,757,618","1,759,407","1,752,704","1,749,734","1,752,286","1,750,216","1,723,836",:,
HU12,"1,237,561","1,213,323","1,218,172","1,220,748","1,226,115","1,234,541","1,247,372","1,261,864","1,278,874","1,297,102","1,309,802",:,
HU21,"1,094,104","1,079,589","1,074,702","1,069,190","1,063,408","1,060,703","1,056,097","1,055,570","1,058,236","1,060,755","1,059,586",:,
HU22,"994,698","984,399","985,279","984,521","983,925","983,933","983,251","985,457","989,343","994,549","996,876",:,
HU23,"940,585","931,215","925,180","917,492","909,130","900,868","894,223","886,840","879,596","874,573","871,105",:,
HU31,"1,194,697","1,200,831","1,189,441","1,176,894","1,164,813","1,153,714","1,143,902","1,134,945","1,126,360","1,118,577","1,112,263",:,
HU32,"1,481,922","1,498,795","1,491,659","1,484,375","1,479,522","1,474,383","1,468,088","1,460,096","1,450,960","1,442,660","1,435,131",:,
HU33,"1,308,470","1,296,278","1,288,654","1,279,480","1,271,040","1,262,936","1,251,924","1,243,865","1,237,101","1,231,094","1,222,173",:,
HUXX,0,0,0,0,0,0,0,0,0,0,:,:,
MT00,"414,989","417,546","422,509","429,424","439,691","450,415","460,297","475,701","493,559","514,564","516,100","520,971",p
NL11,"579,036","580,875","581,705","582,728","583,942","583,721","583,581","582,944","583,990","585,866","586,937","590,170",
NL12,"647,282","647,214","646,862","646,317","646,257","646,040","646,874","647,268","647,672","649,957","651,435","654,019",
NL13,"491,411","490,807","489,918","488,988","488,576","488,629","491,792","492,100","492,167","493,682","494,771","497,743",
NL21,"1,134,465","1,137,668","1,139,350","1,139,697","1,140,652","1,144,280","1,147,687","1,151,501","1,156,431","1,162,406","1,166,533","1,171,910",
NL22,"2,004,671","2,010,745","2,015,791","2,019,692","2,026,578","2,035,351","2,047,901","2,060,103","2,071,972","2,085,952","2,096,603","2,110,472",
NL23,"391,967","395,525","398,441","399,893","401,791","404,068","407,818","411,670","416,546","423,021","428,226","434,771",
NL31,"1,228,794","1,237,117","1,245,294","1,253,672","1,263,572","1,273,613","1,284,504","1,295,484","1,306,912","1,319,231","1,361,153","1,369,873",
NL32,"2,691,477","2,709,822","2,724,300","2,741,369","2,761,929","2,784,854","2,809,483","2,831,182","2,853,359","2,879,527","2,888,486","2,909,827",
NL33,"3,528,324","3,552,407","3,563,935","3,577,032","3,600,011","3,622,303","3,650,222","3,681,044","3,709,139","3,744,299","3,726,050","3,753,944",
NL34,"381,530","381,407","381,077","380,621","380,726","381,252","381,568","382,304","383,032","383,488","385,400","386,767",
NL41,"2,454,215","2,463,686","2,471,011","2,479,274","2,488,751","2,498,749","2,512,531","2,528,286","2,544,806","2,562,955","2,573,949","2,592,874",
NL42,"1,122,627","1,123,075","1,121,891","1,120,006","1,117,941","1,116,260","1,117,546","1,117,198","1,116,137","1,117,201","1,115,872","1,118,302",
AT11,"284,581","285,782","286,691","287,416","288,356","291,011","291,942","292,675","293,433","294,436","296,010",:,
AT12,"1,609,474","1,614,455","1,618,592","1,625,485","1,636,778","1,653,691","1,665,753","1,670,668","1,677,542","1,684,287","1,690,879",:,
AT13,"1,702,855","1,717,084","1,741,246","1,766,746","1,797,337","1,840,226","1,867,582","1,888,776","1,897,491","1,911,191","1,920,949",:,
AT21,"556,718","556,027","555,473","555,881","557,641","560,482","561,077","560,898","560,939","561,293","562,089",:,
AT22,"1,206,611","1,208,696","1,210,971","1,215,246","1,221,570","1,232,012","1,237,298","1,240,214","1,243,052","1,246,395","1,247,077",:,
AT31,"1,410,222","1,413,866","1,418,498","1,425,422","1,437,251","1,453,948","1,465,045","1,473,576","1,482,095","1,490,279","1,495,608",:,
AT32,"527,886","529,704","531,898","534,270","538,575","545,815","549,263","552,579","555,221","558,410","560,710",:,
AT33,"707,517","711,581","715,888","722,038","728,826","739,139","746,153","751,140","754,705","757,634","760,105",:,
AT34,"369,300","370,926","372,603","375,282","378,592","384,147","388,752","391,741","394,297","397,139","399,237",:,
PL21,"3,293,551","3,303,061","3,310,450","3,316,097","3,324,579","3,330,031","3,339,803","3,349,498","3,360,545","3,371,956","3,372,763",:,
PL22,"4,585,758","4,576,485","4,566,039","4,548,177","4,535,705","4,520,567","4,510,528","4,500,863","4,488,998","4,475,460","4,450,220",:,
PL41,"3,422,705","3,430,702","3,437,751","3,441,440","3,447,689","3,450,966","3,457,473","3,465,605","3,473,172","3,479,525","3,477,550",:,
